product_name,product_id,listing_price,sale_price,discount,brand,description,rating,reviews,brand2,adjective_1,adjective_1_sentiment,adjective_2,adjective_2_sentiment,adjective_3,adjective_3_sentiment,adjective_4,adjective_4_sentiment,adjective_5,adjective_5_sentiment,adjective_6,adjective_6_sentiment,adjective_7,adjective_7_sentiment,adjective_8,adjective_8_sentiment,adjective_9,adjective_9_sentiment,adjective_10,adjective_10_sentiment,adjective_11,adjective_11_sentiment,adjective_12,adjective_12_sentiment,adjective_13,adjective_13_sentiment,adjective_14,adjective_14_sentiment,adjective_15,adjective_15_sentiment,adjective_16,adjective_16_sentiment,adjective_17,adjective_17_sentiment,adjective_18,adjective_18_sentiment,adjective_19,adjective_19_sentiment,adjective_20,adjective_20_sentiment,adjective_21,adjective_21_sentiment,adjective_22,adjective_22_sentiment,adjective_23,adjective_23_sentiment,adjective_24,adjective_24_sentiment,adjective_25,adjective_25_sentiment,adjectives_count
Women's adidas Originals Swift Run Shoes,EE4553,7599,4559,40,Adidas ORIGINALS,"The Swift distills decades of adidas heritage running designs. Made for casual everyday wear, these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel. They stand out with embroidered accents and smooth welded details. An EVA midsole adds all-day wearability.",2.7,36,Adidas,casual,-0.5000000000000001,everyday,-0.2,lightweight,0.0,sleek,0.0,supportive,0.5,flexible,0.0,smooth,0.4,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,7
Women's adidas Originals Continental Vulc Shoes,EF9315,6599,3959,40,Adidas ORIGINALS,These low-profile shoes come in a pastel color for a feminine touch. A mix of nubuck and canvas on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable.,4.2,35,Adidas,low,0.0,pastel,0.0,feminine,0.0,upper,0.0,resistant,0.0,fresh,0.3,new,0.13636363636363635,durable,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,8
Women's adidas Running Duramo 9 Shoes,F35281,5999,2999,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",2.6,97,Adidas,neutral,0.0,upper,0.0,lightweight,0.0,seamless,0.1,stable,0.0,soft,0.1,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,6
Women's adidas Originals Supercourt Shoes,EF9220,7599,4559,40,Adidas ORIGINALS,"Forty years of court style, refined to the essentials. The clean, simple lines and supple leather upper of these shoes are a nod to tennis history. Iconic perforated 3-Stripes and a contrasting Trefoil heel tab give them a timeless look.",3.1,62,Adidas,clean,0.3666666666666667,simple,0.0,supple,0.0,upper,0.0,Iconic,0.5,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,5
Men's adidas Sport Inspired Response Trail Shoes,EG0000,7999,3999,50,Adidas CORE / NEO,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town.",3.2,16,Adidas,plush,0.0,confident,0.5,fresh,0.3,sporty,0.0,ultra,0.0,-,0.0,soft,0.1,aggressive,0.0,outsole,0.0,upper,0.0,sleek,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,11
Women's adidas Running Cosmic 2 Shoes,B44889,5999,2999,50,Adidas CORE / NEO,"These women's running shoes have a breathable mesh upper to keep your feet ventilated on your daily runs. The Cloudfoam midsole provides plush cushioning with every stride, and a high-wear outsole holds up over time.",3.1,69,Adidas,breathable,0.0,upper,0.0,daily,0.0,plush,0.0,high,0.16,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,5
Women's adidas Sport Inspired Storm Runner Shoes,CL7417,4599,2299,50,Adidas CORE / NEO,"A fast, lightweight adidas stormrunner shoes for women. These running-inspired shoes are very comfortable for your daily routine. Made with textile upper and Cloudfoam midsole along with rubber outsole these shoes will provide comfort to your feet all day long.",1.0,16,Adidas,lightweight,0.0,stormrunner,0.0,comfortable,0.4,daily,0.0,upper,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,5
Women's adidas Sport Inspired Quickspike Shoes,CL7408,3999,1999,50,Adidas CORE / NEO,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",3.1,8,Adidas,breathable,0.0,upper,0.0,lightweight,0.0,soft,0.1,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,4
WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS,B43601,3299,1649,50,Adidas CORE / NEO,A minimalist design with maximum post-workout comfort. These women's thong sandals feature a soft strap connected to a Cloudfoam footbed that cushions every step and dries quickly. A durable rubber outsole adds long-lasting wear.,2.7,62,Adidas,minimalist,0.0,maximum,0.0,post,0.0,-,0.0,workout,0.0,thong,0.0,soft,0.1,durable,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,8
Women's adidas Sport Inspired Lite Racer Shoes,EE8245,4299,2149,50,Adidas CORE / NEO,Unstoppable style. These shoes borrow their lightweight look and feel from celebrated runners. The airy mesh upper has a clean finish with monochrome 3-Stripes. Plush cushioning helps keep the ride smooth.,3.8,67,Adidas,Unstoppable,0.0,lightweight,0.0,celebrated,0.35,upper,0.0,clean,0.3666666666666667,Plush,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,6
Women's adidas Running Duramo 9 Shoes,EE8042,5599,2799,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",5.0,30,Adidas,neutral,0.0,upper,0.0,lightweight,0.0,seamless,0.1,stable,0.0,soft,0.1,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,6
Women's adidas Sport Inspired Arcadeis Shoes,CL7429,4299,2149,50,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,3.7,43,Adidas,net,0.0,upper,0.0,soft,0.1,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,3
Women's adidas Sport Inspired Videll Shoes,CL7370,3799,2279,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.9,13,Adidas,functional,0.0,subtle,-0.3333333333333333,upper,0.0,synthetic,0.0,extra,0.0,interesting,0.5,upper,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,7
Women's adidas Running EnergyFalcon X Shoes,EE9946,6599,3299,50,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",4.4,81,Adidas,soft,0.1,plush,0.0,OrthoLiteÂ,0.0,thin,-0.4,stable,0.0,durable,0.0,many,0.5,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,7
Women's adidas Sport Inspired Videll Shoes,CK9741,3799,1899,50,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.6,70,Adidas,functional,0.0,subtle,-0.3333333333333333,upper,0.0,synthetic,0.0,extra,0.0,interesting,0.5,upper,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,7
Women's adidas Running Hellion Z Shoes,CL7363,3299,1979,40,Adidas CORE / NEO,Great everyday trainer for the runner in you to go that extra mile. The adidas Hellion Z shoes comes with mesh upper for providing lightweight and breathability to your feet.,2.7,46,Adidas,Great,0.8,everyday,-0.2,extra,0.0,upper,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,4
Women's adidas Sport Inspired Videll Shoes,CL7372,3799,2279,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.2,63,Adidas,functional,0.0,subtle,-0.3333333333333333,upper,0.0,synthetic,0.0,extra,0.0,interesting,0.5,upper,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,7
Women's adidas Sport Inspired Arcadeis Shoes,CL7430,4299,2149,50,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,4.9,95,Adidas,net,0.0,upper,0.0,soft,0.1,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,3
Women's adidas Sport Inspired Cloudfoam Pure Shoes,F34485,5599,3359,40,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a mesh upper and a Memory Foam footbed that conforms to the shape of your foot. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,5.0,15,Adidas,upper,0.0,soft,0.1,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,2
Women's adidas Running Hellion Z Shoes,CL7365,3299,1979,40,Adidas CORE / NEO,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3.6,34,Adidas,new,0.13636363636363635,trendy,0.6,comfortable,0.4,excellent,1.0,breathable,0.0,synthetic,0.0,upper,0.0,comfortable,0.4,Durable,0.0,non,0.0,super,0.3333333333333333,maximum,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,12
Women's adidas Sport Inspired Yking 2.0 Shoes,CL7373,3299,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",2.2,86,Adidas,lightweight,0.0,round,-0.2,simplistic,-0.5,upper,0.0,Lightstrike,0.0,everyday,-0.2,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,6
Women's adidas Running Hellion Z Shoes,CL7364,3299,1979,40,Adidas CORE / NEO,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3.9,3,Adidas,new,0.13636363636363635,trendy,0.6,comfortable,0.4,excellent,1.0,breathable,0.0,synthetic,0.0,upper,0.0,comfortable,0.4,Durable,0.0,non,0.0,super,0.3333333333333333,maximum,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,12
Women's adidas Sport Inspired Yking 2.0 Shoes,CL7374,3299,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",3.4,67,Adidas,lightweight,0.0,round,-0.2,simplistic,-0.5,upper,0.0,Lightstrike,0.0,everyday,-0.2,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,6
Women's adidas Sport Inspired RunFalcon Shoes,EE8167,5599,3359,40,Adidas CORE / NEO,"Start clocking miles in these lightweight running shoes. On the treadmill or the streets, they add comfort to each step with soft cushioning. The supportive trainers have an airy material-mix upper and a midfoot cage for extra support.",3.3,5,Adidas,lightweight,0.0,soft,0.1,supportive,0.5,midfoot,0.0,extra,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,5
Women's adidas Sport Inspired Quickspike Shoes,CL7410,3999,2399,40,Adidas CORE / NEO,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",4.8,85,Adidas,breathable,0.0,upper,0.0,lightweight,0.0,soft,0.1,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,4
Women's adidas Sport Inspired Blaze Runner Shoes,CL7401,5599,3359,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.,3.6,4,Adidas,functional,0.0,subtle,-0.3333333333333333,breathable,0.0,lightweight,0.0,full,0.35,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,5
Women's adidas Sport Inspired Lite Racer CLN Shoes,EE8219,4599,2759,40,Adidas CORE / NEO,"Designed with sleek lines for a minimalist look, these shoes have a light and breathable mesh upper. Pillowy cushioning delivers comfort that lasts all day.",4.1,35,Adidas,sleek,0.0,minimalist,0.0,light,0.4,breathable,0.0,upper,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,0.0,5
