name,sku,selling_price,original_price,color,category,breadcrumbs,description,average_rating,reviews_count,description_preprocess,description_sentiment_nltk,description_sentiment_textblob,description_sentiment_textblob_labels
Formotion Sculpt Biker Short Tights,GL1127,60,,Black,Clothing,Women/Clothing,"Sometimes confidence comes in a surprising form. These adidas short tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive FORMOTION design follows your natural movement for a better fit and greater comfort in motion. A high-rise waist helps you focus, even before class begins.",4.4,26,"sometimes confidence come surprising form . adidas short tights unique sculpted shape hold targeted compression zone support muscle bend stretch . compression look thing , order size . adaptive formotion design follows natural movement better fit greater comfort motion . high-rise waist help focus , even class begin .",1,0.3678571428571429,Positive
Athletic Cushioned Crew Socks 6 Pairs,B93219,20,,White,Accessories,Men/Accessories,"Stop searching for the lost match to your favorite socks. With six pairs of matching socks, you'll always have a set. These adidas crew socks support your feet with foot-hugging arch support. The stretch blend pulls moisture away from the skin to keep feet feeling dry.",4.0,5,"stop searching lost match favorite sock . six pair matching sock , 'll always set . adidas crew sock support foot foot-hugging arch support . stretch blend pull moisture away skin keep foot feeling dry .",1,0.21666666666666667,Positive
Inter Miami CF Home Authentic Jersey,EH8629,70,,White,Clothing,Kids/Clothing,"The future's a blank canvas. When Inter Miami CF step out in front of the home crowd, they'll wear a white uniform that shines under the Florida sun. This adidas soccer jersey is a juniors' version of their official home shirt. It keeps you dry on the training ground, though it's clean enough to wear on the street. The lightweight fabric displays embossed herons and sunset-pink details.",5.0,2,"future 's blank canvas . inter miami cf step front home crowd , 'll wear white uniform shine florida sun . adidas soccer jersey junior ' version official home shirt . keep dry training ground , though 's clean enough wear street . lightweight fabric display embossed heron sunset-pink detail .",1,0.05000000000000001,Positive
Cushioned Mid-Crew Socks 2 Pairs,CJ5831,14,,Black,Accessories,Men/Accessories,"To get serious about training, start from the ground up. Give your feet the cushioned support and moisture-absorbing comfort of these adidas mid-cut crew socks. They have a Traxion footbed for a secure, no-slip fit as you train.",4.8,21,"get serious training , start ground . give foot cushioned support moisture-absorbing comfort adidas mid-cut crew sock . traxion footbed secure , no-slip fit train .",1,0.15555555555555559,Positive
Tour Camo-Print Hat,GM7499,30,,Blue,Accessories,Men/Accessories,"Whether you prefer to dress it up or keep it casual, this adidas golf hat adds the finishing touch to any look on the links. Block your face from the bright sun as you eye the green. Play through in comfort and head for the clubhouse in versatile, street-inspired style.

This product is made with Primegreen, a series of high-performance recycled materials.",5.0,19,"whether prefer dress keep casual , adidas golf hat add finishing touch look link . block face bright sun eye green . play comfort head clubhouse versatile , street-inspired style . product made primegreen , series high-performance recycled material .",1,-1.850371707708594e-17,Negative
Essentials Loose Logo Tank Top,H07758,20,25.0,Purple,Clothing,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",4.8,116,"'s agenda ? whether 's quick lunch hour workout casual hang , 're covered adidas tank top . fit tight loose — perfectly comfortable . high neck keep thing covered front , racerback show sport bra also making sure full range motion .",1,0.18878388278388275,Positive
Essentials Loose Logo Tank Top,H07757,20,25.0,Pink,Clothing,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",4.8,116,"'s agenda ? whether 's quick lunch hour workout casual hang , 're covered adidas tank top . fit tight loose — perfectly comfortable . high neck keep thing covered front , racerback show sport bra also making sure full range motion .",1,0.18878388278388275,Positive
Superstar Shoes,FV3143,50,,White,Shoes,Kids/Shoes,"Ready to shine. Whether they're watching a game from the sidelines or taking their first steps towards shooting hoops themselves, these shoes will set your infant up for success. Ever since 1970, when the adidas Superstar shoe first appeared on the basketball court, they've held their place as an icon. This version shines with iridescent 3-Stripes. Elastic laces allow for easy on and off.",4.8,46,"ready shine . whether 're watching game sideline taking first step towards shooting hoop , shoe set infant success . ever since 1970 , adidas superstar shoe first appeared basketball court , 've held place icon . version shine iridescent 3-stripes . elastic lace allow easy .",1,0.1722222222222222,Positive
Essentials Loose Logo Tank Top,H07756,20,25.0,Green,Clothing,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",4.8,116,"'s agenda ? whether 's quick lunch hour workout casual hang , 're covered adidas tank top . fit tight loose — perfectly comfortable . high neck keep thing covered front , racerback show sport bra also making sure full range motion .",1,0.18878388278388275,Positive
Formotion Sculpt Tights,GN9137,48,80.0,Blue,Clothing,Women/Clothing,"Sometimes confidence comes in a surprising form. These adidas tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive Formotion design follows your natural movement for a better fit and greater comfort in motion. A high rise and flattering length help you focus, even before class begins.",4.2,144,"sometimes confidence come surprising form . adidas tights unique sculpted shape hold targeted compression zone support muscle bend stretch . compression look thing , order size . adaptive formotion design follows natural movement better fit greater comfort motion . high rise flattering length help focus , even class begin .",1,0.39071428571428574,Positive
Marvel X Ghosted.3 Firm Ground Cleats,FZ1757,64,80.0,Blue,Shoes,Soccer/Shoes,X has mutated to give you superhuman acceleration. These limited-edition adidas soccer cleats fire a classic comic book character onto the pitch. Cyclops and Marvel X-Men graphics light up the semi-transparent and foot-hugging Speedskin upper as well as the insole. The low-cut silhouette with signature Clawcollar shape locks your foot in for match-long stability and support. The stretchy tongue ensures you can get into them in a flash.,4.4,160,x mutated give superhuman acceleration . limited-edition adidas soccer cleat fire classic comic book character onto pitch . cyclops marvel x-men graphic light semi-transparent foot-hugging speedskin upper well insole . low-cut silhouette signature clawcollar shape lock foot match-long stability support . stretchy tongue ensures get flash .,1,0.20416666666666666,Positive
Pureboost 21 Shoes,GY5110,91,130.0,Purple,Shoes,Women/Shoes,"For quick morning miles and more. These adidas Pureboost performance running shoes are so simple, you'll want to wear them beyond your daily run. With responsive BOOST, the comfort is clear as soon as you slip them on. The soft knit upper comes with an external heel counter, which locks your foot in place as you run down that last hill.",4.5,63,"quick morning mile . adidas pureboost performance running shoe simple , 'll want wear beyond daily run . responsive boost , comfort clear soon slip . soft knit upper come external heel counter , lock foot place run last hill .",1,0.08777777777777776,Positive
Lite Racer BYD 2.0 Shoes,GZ8209,56,70.0,Grey,Shoes,Men/Shoes,"Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",4.6,135,"simplicity , versatility comfort . lace running-inspired shoe action-filled day . 're quick slip 're racing door . rubber outsole give traction slippery uneven surface . cloudfoam midsole soft feel all-day cushioning . product made primegreen , series high-performance recycled material . 50 % upper recycled content . virgin polyester .",1,0.05833333333333333,Positive
Adilette Shower Slides,FZ2853,20,25.0,Pink,Shoes,Women/Shoes,"When you hit the pool, there's only one thing you need: these adidas slides. Okay, and a bathing suit. The point is, there's no need to pack a separate pair of shoes in your gym bag. All your pre- and post-pool comfort is right here. The slides dry quickly, so hop out of the shower and straight into them before taking on the rest of the day.",4.6,327,"hit pool , 's one thing need : adidas slide . okay , bathing suit . point , 's need pack separate pair shoe gym bag . pre- post-pool comfort right . slide dry quickly , hop shower straight taking rest day .",1,0.20873015873015874,Positive
Essentials Loose Logo Tank Top,GL0567,20,25.0,White,Clothing,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",4.8,116,"'s agenda ? whether 's quick lunch hour workout casual hang , 're covered adidas tank top . fit tight loose — perfectly comfortable . high neck keep thing covered front , racerback show sport bra also making sure full range motion .",1,0.18878388278388275,Positive
Conext 21 Mini Ball,GK3487,10,14.0,White,Accessories,Men/Accessories,"The world moves to the beat of the beautiful game. This adidas Conext 21 Mini Ball displays a vibrant design inspired by motion. Its interlinking panels represent the unity of soccer's six continental federations. Beneath the laminated surface, a foam core means you won't need a pump to keep this pint-sized ball rolling.",5.0,10,"world move beat beautiful game . adidas conext 21 mini ball display vibrant design inspired motion . interlinking panel represent unity soccer 's six continental federation . beneath laminated surface , foam core mean wo n't need pump keep pint-sized ball rolling .",1,0.20555555555555552,Positive
Essentials Logo Dress,H42010,32,35.0,Purple,Clothing,Women/Clothing,"If ease is what you're looking for, then the search stops here. This adidas dress is all about it. All you have to do is pull it on, and instantly you're set with comfort. And style, which just comes naturally when there's a big and undeniable adidas Badge of Sport making a statement on the front. The loose shape drapes the body in soft cotton and lets you move entirely your way.",4.7,49,"ease 're looking , search stop . adidas dress . pull , instantly 're set comfort . style , come naturally 's big undeniable adidas badge sport making statement front . loose shape drape body soft cotton let move entirely way .",1,0.020512820512820513,Positive
Copa Sense.3 Turf Shoes,FW6528,64,80.0,White,Shoes,Men/Shoes,"In the cage. On the court. When the walls close in, your senses take over. Let Copa Sense elevate your touch as you switch up your game. The stretchy collar on these adidas soccer shoes makes for easy entry and a secure fit. Once on, the anatomically designed upper keeps you firmly locked in. Soft and durable, the leather forefoot brings step-in comfort and a touch that buys you time on the busiest courts.",4.3,106,"cage . court . wall close , sens take . let copa sense elevate touch switch game . stretchy collar adidas soccer shoe make easy entry secure fit . , anatomically designed upper keep firmly locked . soft durable , leather forefoot brings step-in comfort touch buy time busiest court .",1,0.10476190476190475,Positive
Best Version of Myself Slogan Graphic Tank Top,GS4153,18,25.0,Yellow,Clothing,Women/Clothing,"Every day brings a new opportunity to be the best version of yourself. The inspirational graphic on this adidas tank top reminds you to strive to be a little bit better than the day before. Reach for that goal in comfort, thanks to the racerback design and moisture-absorbing AEROREADY technology. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste.",4.4,7,"every day brings new opportunity best version . inspirational graphic adidas tank top reminds strive little bit better day . reach goal comfort , thanks racerback design moisture-absorbing aeroready technology . buying cotton product u , 're supporting sustainable cotton farming . product made recycled content part ambition end plastic waste .",1,0.29080578512396693,Positive
Essentials 3-Stripes Full-Zip Hoodie,H07840,44,55.0,Green,Clothing,Women/Clothing,"There are a lot of things we compromise on in life. Comfort isn't one of them. Not with this adidas hoodie, at least. It's made from soft, stretchy cotton to make sure nothing limits your movements. Whether you're warming up or laying low, the casual layer keeps you feeling good on all fronts.",5.0,21,"lot thing compromise life . comfort n't one . adidas hoodie , least . 's made soft , stretchy cotton make sure nothing limit movement . whether 're warming laying low , casual layer keep feeling good front .",1,0.08333333333333331,Positive
Best Version of Myself Slogan Graphic Tank Top,H14698,20,25.0,Black,Clothing,Women/Clothing,"Every day brings a new opportunity to be the best version of yourself. The inspirational graphic on this adidas tank top reminds you to strive to be a little bit better than the day before. Reach for that goal in comfort, thanks to the racerback design and moisture-absorbing AEROREADY technology. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste.",4.4,7,"every day brings new opportunity best version . inspirational graphic adidas tank top reminds strive little bit better day . reach goal comfort , thanks racerback design moisture-absorbing aeroready technology . buying cotton product u , 're supporting sustainable cotton farming . product made recycled content part ambition end plastic waste .",1,0.29080578512396693,Positive
adidas Sportswear Future Icons Logo Graphic Tee,H39753,24,30.0,Blue,Clothing,Men/Clothing,"There are times to go hard, and then there are moments to give into the stillness. Both are a showcase of strength. Whatever the speed, this adidas t-shirt is down for it. Soft material hangs on the body with a loose, casual shape for total comfort. A logo graphic on the front puts your dedication on full display — not like it wasn't already clear.",4.6,78,"time go hard , moment give stillness . showcase strength . whatever speed , adidas t-shirt . soft material hang body loose , casual shape total comfort . logo graphic front put dedication full display — like n't already clear .",1,-0.05268281101614438,Negative
FutureNatural Shoes,GX5152,84,120.0,Blue,Shoes,Men/Shoes,"Trends change, but feet remain the same. Made for running and training, these adidas shoes were designed to work with the foot to support natural movement in every direction. A smooth transition between the adidas Primeknit upper and injected PU midsole provides a seamless fit and unrestricted feel. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",4.5,204,"trend change , foot remain . made running training , adidas shoe designed work foot support natural movement every direction . smooth transition adidas primeknit upper injected pu midsole provides seamless fit unrestricted feel . product made recycled content part ambition end plastic waste . 20 % piece used make upper made minimum 50 % recycled content .",1,0.1,Positive
Marvel Superhero Racer TR 2.0 Shoes,H04458,35,43.0,Black,Shoes,Kids/Shoes,"For the toddler in your family who's already always on the move, keep their feet cozy in these adidas shoes. The soft upper and lightweight midsole let them explore the big new world in comfort and confidence.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",5.0,9,"toddler family 's already always move , keep foot cozy adidas shoe . soft upper lightweight midsole let explore big new world comfort confidence . product made recycled content part ambition end plastic waste . 20 % piece used make upper made minimum 50 % recycled content .",1,-0.023376623376623377,Negative
Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket,H48444,40,50.0,Blue,Clothing,Women/Clothing,"Dash out the door feeling ready for it all. This track jacket has a slim cut with raglan sleeves for a distraction-free feel while warming up or recovering later on. Side pockets keep a bus pass and music player within reach. 

This product is made with Primegreen, a series of high-performance recycled materials.",4.7,14,"dash door feeling ready . track jacket slim cut raglan sleeve distraction-free feel warming recovering later . side pocket keep bus pas music player within reach . product made primegreen , series high-performance recycled material .",1,0.1,Positive
Sherpa Jacket,HG6676,120,150.0,Black,Clothing,Women/Clothing,"Get the best of ease and style in this adidas Sherpa jacket. Super-soft, ultra fluffy fleece blankets you in comfort. Its voluminous balloon shape, emphasized by elastic on the waist and cuffs, ensures a standout look. Layered pockets play up the drama even more. Statement made.",4.0,2,"get best ease style adidas sherpa jacket . super-soft , ultra fluffy fleece blanket comfort . voluminous balloon shape , emphasized elastic waist cuff , ensures standout look . layered pocket play drama even . statement made .",1,0.43333333333333335,Positive
Sherpa Jacket,HG6677,120,150.0,White,Clothing,Women/Clothing,"Get the best of ease and style in this adidas Sherpa jacket. Super-soft, ultra fluffy fleece blankets you in comfort. Its voluminous balloon shape, emphasized by elastic on the waist and cuffs, ensures a standout look. Layered pockets play up the drama even more. Statement made.",4.0,2,"get best ease style adidas sherpa jacket . super-soft , ultra fluffy fleece blanket comfort . voluminous balloon shape , emphasized elastic waist cuff , ensures standout look . layered pocket play drama even . statement made .",1,0.43333333333333335,Positive
Yoga Pants,GU3945,56,70.0,Green,Clothing,Men/Clothing,"Find your bliss in these adidas yoga pants. AEROREADY wicks away moisture as you try to hold your Scorpion Pose one more second. The soft French terry build might make you not want to get up from Corpse Pose. But achieving that reset feeling afterwards brings you back every time.

This product is made with Primegreen, a series of high-performance recycled materials.",4.8,20,"find bliss adidas yoga pant . aeroready wick away moisture try hold scorpion pose one second . soft french terry build might make want get corpse pose . achieving reset feeling afterwards brings back every time . product made primegreen , series high-performance recycled material .",1,0.12,Positive
AEROREADY Designed 2 Move Feelready Sport Long Sleeve Tee,H30296,24,30.0,Green,Clothing,Men/Clothing,"This long sleeve tee is made for busy days. From working out to hauling the kids around town, you'll appreciate the smart design details at every step. Its FreeLift design means an enhanced range of motion and extra coverage at the back. 

This product is made with Primegreen, a series of high-performance recycled materials.",4.7,104,"long sleeve tee made busy day . working hauling kid around town , 'll appreciate smart design detail every step . freelift design mean enhanced range motion extra coverage back . product made primegreen , series high-performance recycled material .",1,0.05285714285714286,Positive
Essentials French Terry 3-Stripes Hoodie,GK9081,42,60.0,Blue,Clothing,Men/Clothing,"Cool nights and early mornings call for the solid, reliable warmth of this adidas hoodie. The classic design is inspired by old-school workout gear from the adidas archive. Hot tip: One of the best ways to settle into a feeling of ease? Soft French terry fabric. Which is exactly what this is made of. So zip in, and get comfortable. You really don't have a choice.",4.9,88,"cool night early morning call solid , reliable warmth adidas hoodie . classic design inspired old-school workout gear adidas archive . hot tip : one best way settle feeling ease ? soft french terry fabric . exactly made . zip , get comfortable . really n't choice .",1,0.2560606060606061,Positive
Fluidflash Shoes,GY5019,60,85.0,White,Shoes,Essentials/Shoes,"You never blend in. So pair your attitude with your look in these adidas Fluidflash Shoes. A design inspired by outer space levels up your sneaker game. Luxe, lightweight softness makes you feel like you're walking in zero gravity. Liftoff.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",4.2,120,"never blend . pair attitude look adidas fluidflash shoe . design inspired outer space level sneaker game . luxe , lightweight softness make feel like 're walking zero gravity . liftoff . product made recycled content part ambition end plastic waste . 20 % piece used make upper made minimum 50 % recycled content .",1,-0.20000000000000004,Negative
Essentials Slim Logo Shorts,GM5537,18,25.0,Grey,Clothing,Women/Clothing,"Go ahead and settle in. Not only do you deserve it, but these adidas shorts make it easy. Soft French terry material is to thank for that. Also, shout out to the drawcord-adjustable waist, which lets you personalize the fit to your liking. While we're giving credit, the side slits on the hem should be given their dues for making sure you move without restriction in total comfort.",4.8,54,"go ahead settle . deserve , adidas short make easy . soft french terry material thank . also , shout drawcord-adjustable waist , let personalize fit liking . 're giving credit , side slit hem given due making sure move without restriction total comfort .",1,0.20476190476190476,Positive
Essentials 3-Stripes Crop Top,GS1343,20,25.0,Black,Clothing,Women/Clothing,"You deserve comfort, and this crop top makes sure you get it. It also makes sure you're not just feeling good, but that you look good too. The minimalist, sporty build is all about versatility, which encourages you to make the look entirely yours. Layered, on its own, with high-waisted trousers or played down with sweats — you really can't go wrong. The soft cotton jersey fabric keeps you comfortable, even on the longest of days, with just the perfect amount of stretch.",4.0,6,"deserve comfort , crop top make sure get . also make sure 're feeling good , look good . minimalist , sporty build versatility , encourages make look entirely . layered , , high-waisted trouser played sweat — really ca n't go wrong . soft cotton jersey fabric keep comfortable , even longest day , perfect amount stretch .",1,0.3620370370370371,Positive
ZX 2K Boost Shoes,GV7380,105,150.0,White,Shoes,Originals/Shoes,The ZX stepped onto the scene as a revolutionary line of technical runners. These adidas ZX 2K Boost Shoes honor the spirit of innovation that drives change in tech and in culture. No-sew overlays add depth to the upper. Boost keeps your energy high so you're always moving forward.,4.7,2540,zx stepped onto scene revolutionary line technical runner . adidas zx 2k boost shoe honor spirit innovation drive change tech culture . no-sew overlay add depth upper . boost keep energy high 're always moving forward .,1,0.05333333333333334,Positive
Lite Racer BYD 2.0 Shoes,GZ8211,56,70.0,Blue,Shoes,Men/Shoes,"Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",4.6,135,"simplicity , versatility comfort . lace running-inspired shoe action-filled day . 're quick slip 're racing door . rubber outsole give traction slippery uneven surface . cloudfoam midsole soft feel all-day cushioning . product made primegreen , series high-performance recycled material . 50 % upper recycled content . virgin polyester .",1,0.05833333333333333,Positive
Essentials 3-Stripes Full-Zip Hoodie,H07839,44,55.0,Blue,Clothing,Women/Clothing,"There are a lot of things we compromise on in life. Comfort isn't one of them. Not with this adidas hoodie, at least. It's made from soft, stretchy cotton to make sure nothing limits your movements. Whether you're warming up or laying low, the casual layer keeps you feeling good on all fronts.",5.0,21,"lot thing compromise life . comfort n't one . adidas hoodie , least . 's made soft , stretchy cotton make sure nothing limit movement . whether 're warming laying low , casual layer keep feeling good front .",1,0.08333333333333331,Positive
ZX 2K Boost 2.0 Shoes,GZ7823,105,150.0,White,Shoes,Women/Shoes,ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,4.7,58,zxience expands zx universe glow . step zx 2k boost 2.0 experience cushioned comfort wrapped boost midsole . embrace glow upper 's bold luminous design . eye may widen . embrace sensation .,1,0.16666666666666666,Positive
Racer TR21 Shoes,H00652,60,75.0,Grey,Shoes,Women/Shoes,"These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",4.8,78,"adidas shoe bring athletic style running footwear everyday look . move confidently day comfortably snug fit lightweight midsole provides all-day cushioning underfoot . product made primegreen , series high-performance recycled material . 50 % upper recycled content . virgin polyester .",1,0.22000000000000003,Positive
Aeromotion Pants,H29175,42,60.0,Blue,Clothing,Men/Clothing,"These adidas workout pants are made for cool-weather training sessions. The slim fit and lightweight feel ensure distraction-free comfort, and the fabric keeps your muscles warm and ready to move. Moisture-absorbing AEROREADY helps you stay dry. Cinch the drawcord on the elastic waist for just the right fit.

This product is made with Primegreen, a series of high-performance recycled materials.",4.8,8,"adidas workout pant made cool-weather training session . slim fit lightweight feel ensure distraction-free comfort , fabric keep muscle warm ready move . moisture-absorbing aeroready help stay dry . cinch drawcord elastic waist right fit . product made primegreen , series high-performance recycled material .",1,0.30317460317460315,Positive
ZX 2K Boost 2.0 Shoes,GZ9087,105,150.0,Black,Shoes,Men/Shoes,"In the '80s, the ZX series made some serious noise when it broke onto the running scene. Not a bad legacy to lace into. Put on these adidas ZX 2K Boost 2.0 Shoes and shake things up yourself. You'll stay comfortable as you do, thanks to plush cushioning.",4.7,183,"'80s , zx series made serious noise broke onto running scene . bad legacy lace . put adidas zx 2k boost 2.0 shoe shake thing . 'll stay comfortable , thanks plush cushioning .",1,0.15416666666666667,Positive
Crew Sweatshirt,HG6687,60,75.0,Purple,Clothing,Women/Clothing,"Even in its simplest version, this adidas sweatshirt goes all in on drama. A metallic-gold Trefoil logo hints at what's in store. Open up the matching zips to reveal a mesh layer underneath. A silhouette transformed in seconds. Your comfort never changes, thanks to the ultra-soft French terry.",5.0,1,"even simplest version , adidas sweatshirt go drama . metallic-gold trefoil logo hint 's store . open matching zip reveal mesh layer underneath . silhouette transformed second . comfort never change , thanks ultra-soft french terry .",1,0.06666666666666667,Positive
