product_name,product_id,listing_price,sale_price,discount,brand,description,rating,reviews,brand2,description_preprocess,description_sentiment_nltk,description_sentiment_textblob,description_sentiment_textblob_labels
Women's adidas Sport Inspired Quickspike Shoes,CL7410,3999,2399,40,Adidas CORE / NEO,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",4.8,85,Adidas,"woman 's running-inspired shoe feature breathable mesh upper comfort collar , moulded overlay provides lightweight support . soft cloudfoam cushioning one-piece midsole outsole provides comfort last day long .",1,0.016666666666666666,Positive
Women's adidas Sport Inspired Blaze Runner Shoes,CL7401,5599,3359,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.,3.6,4,Adidas,extremely functional subtle running-inspired shoe woman . breathable lightweight knit-mesh offer extended ventilation comfort . cloudfoam midsole full adiwear outsole provides durability .,1,-0.036111111111111115,Negative
Women's adidas Sport Inspired Lite Racer CLN Shoes,EE8219,4599,2759,40,Adidas CORE / NEO,"Designed with sleek lines for a minimalist look, these shoes have a light and breathable mesh upper. Pillowy cushioning delivers comfort that lasts all day.",4.1,35,Adidas,"designed sleek line minimalist look , shoe light breathable mesh upper . pillowy cushioning delivers comfort last day .",1,0.2,Positive
Women's adidas Sport Inspired Blaze Runner Shoes,CL7402,5599,3359,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.,3.6,13,Adidas,extremely functional subtle running-inspired shoe woman . breathable lightweight knit-mesh offer extended ventilation comfort . cloudfoam midsole full adiwear outsole provides durability .,1,-0.036111111111111115,Negative
Women's adidas Nova Run X Shoes,EE9929,8599,5159,40,Adidas CORE / NEO,"Being comfortable on your run is just as important as winning the race. These shoes combine soft, supportive Cloudfoam cushioning with a durable Adiwear outsole for comprehensive control and an energised ride. The mesh upper features a foot-hugging, no-sew fit for a locked-in feel.",2.5,20,Adidas,"comfortable run important winning race . shoe combine soft , supportive cloudfoam cushioning durable adiwear outsole comprehensive control energised ride . mesh upper feature foot-hugging , no-sew fit locked-in feel .",1,0.3285714285714286,Positive
Women's adidas Sport Inspired Questar Flow Shoes,EE8221,6599,3959,40,Adidas CORE / NEO,Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.,2.7,41,Adidas,ready street . shoe borrow modern look feel lightweight runner . flexible knit upper floating 3-stripes integrated lacing system . pillow-soft midsole outsole cushioning provides all-day comfort .,1,0.13333333333333333,Positive
Women's adidas Sport Inspired Questar Flow Shoes,EE8224,6599,3959,40,Adidas CORE / NEO,Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.,2.5,72,Adidas,ready street . shoe borrow modern look feel lightweight runner . flexible knit upper floating 3-stripes integrated lacing system . pillow-soft midsole outsole cushioning provides all-day comfort .,1,0.13333333333333333,Positive
Women's adidas Running EnergyFalcon X Shoes,EE9941,6599,3959,40,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",1.5,32,Adidas,"dig deep reach goal , running shoe offer support stability need . every step feel pillow-soft plush cushioning ortholiteâ® sockliner comfort . flowing tpu heel counter thin support cage keep foot centred stable . durable outsole made logging many mile .",1,0.033333333333333326,Positive
Women's adidas Running Asweego Shoes,EE8522,7599,4559,40,Adidas CORE / NEO,Shoes with flexibility and responsiveness for multisport training. These shoes have a knit textile upper that hugs the foot for a sock-like fit. Pillow-like midsole cushioning provides long-lasting comfort. Durable rubber inserts at the forefoot and heel provide added grip so you're ready for unexpected terrain.,2.6,84,Adidas,shoe flexibility responsiveness multisport training . shoe knit textile upper hug foot sock-like fit . pillow-like midsole cushioning provides long-lasting comfort . durable rubber insert forefoot heel provide added grip 're ready unexpected terrain .,1,0.17500000000000002,Positive
Women's adidas Running Sooraj Shoes,EE9932,5599,3359,40,Adidas CORE / NEO,"Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes.",5.0,75,Adidas,"fast sleek . ready go . woman 's running shoe feature streamlined , low-profile design pillow-soft cloudfoam cushioning plush landing . mesh upper delivers speedy look fun colour 3-stripes .",1,0.175,Positive
Women's adidas Sport Inspired Questar Ride Shoes,EE8375,6999,4199,40,Adidas CORE / NEO,"Inspired by modern tech runners, these women's shoes step out with unexpected style. A two-tone mesh upper keeps the feel flexible and mixes with a sculpted Cloudfoam midsole and contrast heel counter.",4.5,4,Adidas,"inspired modern tech runner , woman 's shoe step unexpected style . two-tone mesh upper keep feel flexible mix sculpted cloudfoam midsole contrast heel counter .",1,0.10000000000000002,Positive
Men's adidas Sport Inspired Run 70s Shoes,EE9798,5599,3359,40,Adidas CORE / NEO,"These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off.",3.9,48,Adidas,"running-inspired shoe designed mesh upper textile lining flexible , all-day comfort . 3-stripes rubber outsole give shoe stylish sign-off .",1,0.25,Positive
Women's adidas Running Asweerun Shoes,EE8502,4999,2999,40,Adidas CORE / NEO,"Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step.",3.2,12,Adidas,"aspire greatness . running shoe woman made airy , lightweight mesh upper . durable rubber outsole grip pavement added stability . cushioned midsole brings comfort step .",1,0.0,Neutral
Women's adidas Sport Inspired Archivo Shoes,EF0450,4999,2999,40,Adidas CORE / NEO,A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.,3.9,83,Adidas,mix modern comfort authentic adidas heritage . running-inspired shoe treat foot superior cushioning ultra-plush ride cloudfoam midsole soft sockliner . sleek mesh upper feature suede overlay subtle 3-stripes sporty style .,1,0.19444444444444445,Positive
Women's Sport Inspired Yking 2.0 Shoes,CL7375,3299,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",2.0,11,Adidas,"lightweight running-inspired shoe woman give round comfort , cushioning , durability & support simplistic design . mesh upper ensure breathability durability . lightstrike eva midsole give cushioning need everyday rubber outsole provides durability .",1,-0.22499999999999998,Negative
Women's adidas Sport Inspired Archivo Shoes,EF0446,4999,2999,40,Adidas CORE / NEO,A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.,1.0,42,Adidas,mix modern comfort authentic adidas heritage . running-inspired shoe treat foot superior cushioning ultra-plush ride cloudfoam midsole soft sockliner . sleek mesh upper feature suede overlay subtle 3-stripes sporty style .,1,0.19444444444444445,Positive
Women's adidas Running Response Trail X Shoes,EF0529,6999,4199,40,Adidas CORE / NEO,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town.",3.3,69,Adidas,"road turn trail , matter lie ahead . running shoe deliver plush ride confident grip fresh , sporty look . cloudfoam cushioning feel ultra-soft aggressive outsole grab direction . multilayer upper sleek 3-stripes elevate look get back town .",1,0.2,Positive
Women's adidas Running EnergyFalcon X Shoes,EE9940,6599,3959,40,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",4.1,33,Adidas,"dig deep reach goal , running shoe offer support stability need . every step feel pillow-soft plush cushioning ortholiteâ® sockliner comfort . flowing tpu heel counter thin support cage keep foot centred stable . durable outsole made logging many mile .",1,0.033333333333333326,Positive
Women's adidas Originals Marathon Tech Shoes,EE4954,11999,7199,40,Adidas ORIGINALS,"These shoes draft off the Marathon TR, a trail-running pioneer that debuted in 1979. The upper mixes breathable mesh and suede overlays with metallic details. A grid print on the midsole highlights the addition of responsive Boost cushioning.",4.4,35,Adidas,"shoe draft marathon tr , trail-running pioneer debuted 1979. upper mix breathable mesh suede overlay metallic detail . grid print midsole highlight addition responsive boost cushioning .",1,0.0,Neutral
Women's adidas Originals U_Path Run Shoes,G27996,7999,4799,40,Adidas ORIGINALS,"The U_Path offers a sleek combination of retro and modern. These shoes are built of soft, breathable mesh for everyday wear. The unique D-ring lacing system is inspired by a '70s running sneaker design. A bungee heel piece provides support, and a lightweight EVA midsole adds all-day wearability.",4.8,18,Adidas,"u_path offer sleek combination retro modern . shoe built soft , breathable mesh everyday wear . unique d-ring lacing system inspired '70s running sneaker design . bungee heel piece provides support , lightweight eva midsole add all-day wearability .",1,0.11499999999999999,Positive
Men's adidas Sport Inspired Drogo Shoes,CL4156,2699,1349,50,Adidas CORE / NEO,The adidas running-inspired shoes for men. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable and non slippery one piece super grip EVA midsole and outsole ensures maximum stability and grip on the ground.,3.5,89,Adidas,adidas running-inspired shoe men . excellent combination breathable mesh synthetic overlay upper make comfortable foot run . durable non slippery one piece super grip eva midsole outsole ensures maximum stability grip ground .,1,0.4633333333333333,Positive
Women's adidas Originals Stan Smith Shoes,EE4893,7999,4799,40,Adidas ORIGINALS,"Since it first hit the courts in the early '70s, the Stan Smith has become legendary for its timeless style. These shoes pay tribute to the iconic design by preserving the low-profile cupsole and perforated 3-Stripes. The allover floral print on the upper gives this version a fresh twist.",4.0,47,Adidas,"since first hit court early '70s , stan smith become legendary timeless style . shoe pay tribute iconic design preserving low-profile cupsole perforated 3-stripes . allover floral print upper give version fresh twist .",1,0.35833333333333334,Positive
Women's adidas Running Sooraj Shoes,EE9937,5599,3359,40,Adidas CORE / NEO,"Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes.",4.8,94,Adidas,"fast sleek . ready go . woman 's running shoe feature streamlined , low-profile design pillow-soft cloudfoam cushioning plush landing . mesh upper delivers speedy look fun colour 3-stripes .",1,0.175,Positive
Women's adidas Originals U_Path Run Shoes,G27649,7999,4799,40,Adidas ORIGINALS,"The U_Path offers a sleek combination of retro and modern. These shoes are built of soft, breathable mesh for everyday wear. The unique D-ring lacing system is inspired by a '70s running sneaker design. A bungee heel piece provides support, and a lightweight EVA midsole adds all-day wearability.",4.5,35,Adidas,"u_path offer sleek combination retro modern . shoe built soft , breathable mesh everyday wear . unique d-ring lacing system inspired '70s running sneaker design . bungee heel piece provides support , lightweight eva midsole add all-day wearability .",1,0.11499999999999999,Positive
